   idx	detector_op	human_op	sentence
0	AFF		All of Borrower’s obligations under this Article III shall survive termination of the Aggregate Commitments and the occurrence of the Release Date.
1	NEG		Except as otherwise provided in this Agreement, the rights and privileges conferred by this Agreement shall not be transferred, assigned, pledged or hypothecated in any way (whether by operation of law or otherwise) and shall not be subject to sale under execution, attachment or similar process.
2	NEG		Sellers are not subject to any judgment, injunction, order, writ or decree of any court of Governmental Agency relating specifically to Sellers or to the ownership, operation or management of the Facility or the Business.
3	AFF		(d) to any other party hereto;
4	NEG		Client agrees to timely pay all fees set forth on Schedule 1 annexed hereto, all of which fees shall be fully earned and payable when due, may be charged by WFB to the Client Ledger Account and shall not be subject to refund, rebate or proration for any reason whatsoever.
5	AFF		The Offeror has taken all actions necessary to authorize it to enter into and perform its obligations under this Agreement and to consummate the transactions contemplated hereby.
6	EXC		The Loan Parties (other than Borrower) will promptly perform and comply with all terms conditions and provisions set out in this Agreement and the other Loan Documents applicable to such Loan Party.
7	EXC		Administrative Agent shall promptly give Borrower notice of such a determination and adjustment, which determination shall be prima facie evidence of the correctness of the fact and the amount of such adjustment and shall be binding on Borrower absent manifest error.
8	NEG		Further, though severance would not be applicable, should there be a mutual decision for an early termination of this Assignment such reasonable relocation expenses would be reimbursed.
9	OVR		Nothing contained herein shall be deemed to limit in any way any right to serve process in any other manner permitted by law.
10	EXC		There are no liens for taxes (other than current taxes not yet due and payable) on the assets of the Corporation.
11	OVR		In no event shall any HollyFrontier Group Member have any liability to another HollyFrontier Group Member, or shall any Partnership Group Member have any liability to another Partnership Group Member, for Damages, regardless of how caused or under any theory of recovery.
12	OVR		The remedies provided herein are cumulative and not exclusive of any remedies provided by law.
13	EXC		Unless expressly set forth in a document signed by both parties, the restrictive covenants set forth herein shall survive the termination of this Agreement and the termination of Executive’s employment for any reason, voluntary or involuntary.
14	EXC		This Agreement contains the complete understanding between the Parties as to the subject matter contained herein, and no other promises or agreements shall be binding unless signed by both an authorized representative of the Employer and Employee.
15	OVR		The failure of either party to enforce any provision or provisions of this Agreement will not in any way be construed as a waiver of any such provision or provisions as to any future violations thereof, nor prevent that party from later enforcing each and every other provision of this Agreement.
16	NEG		This waiver and release provision does not apply to any rights that Employee cannot lawfully waive.
17	NEG		provided, however, that this paragraph shall have no application to any evidence or testimony required by any court or other government entity, including but not limited to, the U.S.
18	AFF		The Borrower will, and will cause each of its Restricted Subsidiaries to, do or cause to be done all things necessary to preserve, renew and keep in full force and effect its legal existence;
19	OVR		In the event of any conflict between the Agreement and the Management Retention Agreement, the terms of the Management Retention Agreement shall prevail.
20	OVR		provided, however , that such termination will not affect the right of any party to sue for any breach by any other party (or parties).
21	AFF		The Company is current with its filing obligations under the Exchange Act and all SEC Documents have been filed on a timely basis or the Company has received a valid extension of such time of filing and has filed any such SEC Document prior to the expiration of any such extension.
22	NEG		The foregoing waivers do not and shall not apply to any other Default or Event of Default that may currently be outstanding, and shall not apply to any future Default or Event of Default.
23	EXC		The Company and its Subsidiaries have taken reasonable security measures to protect the secrecy, confidentiality and value of all of their intellectual properties, except where failure to do so could not, individually or in the aggregate, reasonably be expected to have a Material Adverse Effect.
24	EXC		All financial statements shall be prepared in accordance with accounting principles generally employed for cash-basis records consistently applied (except as therein noted).
25	OVR		provided, however, that such termination will not affect the right of any party to sue for any breach by any other party.
26	OVR		This Agreement, for all purposes, shall be construed in accordance with the laws of Missouri without regard to conflicts of law principles.
27	EXC		None of the Debtors is or has been at any time since January 1, 2014 in violation of any Law or Order, except for any such violations that have not had and would not reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect.
28	EXC		This Agreement, and the legal relations between the parties, shall be governed by and construed in accordance with the laws of the State of Florida without regard to conflicts of law doctrine.
